id,labels,nombre,apellido,telefono,dpi,fecha_nacimiento,id_cliente,nit,membresia,num_membresia,fecha_inicio,puesto,id_empleado,salario,planilla
0,Persona|Cliente|Personal,Patricia,Williams,+1-914-852-2336x273,5922913991730,1991-03-23,0,1932316,False,,2022-07-10,Repartidor,0,10116.76,True
1,Persona|Cliente,Samuel,Scott,337-415-4736x6270,8514762295901,1985-05-05,1,1167433,True,421460,,,,,
2,Persona|Cliente|Personal,Brandon,Jackson,(273)921-7964x353,8104532258199,1960-03-17,2,3433518,False,,2016-01-01,Repartidor,1,4679.6,True
3,Persona,Lindsey,Bailey,277-854-1741x85139,4300099576735,2004-09-16,,,,,,,,,
4,Persona,Brendan,Hinton,587.687.6606x98545,5408345361271,1982-11-30,,,,,,,,,
5,Persona|Cliente,Angela,Bryant,7445970899,5406516860112,1961-10-12,3,4054133,False,,,,,,
6,Persona|Cliente|Personal,Johnathan,Lane,001-628-789-4371x1263,5186754183917,1962-09-07,4,2288203,True,779401,2011-03-14,Vendedor,2,6906.69,True
7,Persona|Cliente|Personal,Wanda,Turner,(350)374-7769,8832981999818,1983-04-15,5,9706227,True,208644,2021-06-22,Supervisor,3,3352.69,False
8,Persona,Nicholas,Garcia,(858)544-1967x3020,9295300037180,1974-09-23,,,,,,,,,
9,Persona|Cliente,David,Anderson,265.291.7946x001,1775853163182,1986-06-04,6,3245789,False,,,,,,
10,Persona,Mary,Booker,811.421.4406x96968,1517623830288,1960-03-12,,,,,,,,,
11,Persona|Cliente|Personal,Amanda,Cruz,8688431360,8005999623052,1987-10-01,7,1227409,False,,2022-10-21,Cajero,4,4270.24,True
12,Persona|Cliente|Personal,Patrick,Reynolds,207.541.0771x1674,8114181397891,1978-09-20,8,4775118,True,618545,2016-12-24,Supervisor,5,6372.14,False
13,Persona|Cliente,Donna,Johnson,(647)699-4043x887,5795438424076,1975-11-08,9,8444848,True,804255,,,,,
14,Persona|Personal,Amber,Hanna,(836)899-7687x597,8630599974911,1976-02-25,,,,,2012-11-25,Repartidor,6,7765.35,True
15,Persona|Cliente,Gregory,Mccoy,(215)731-8189x31032,8993919236411,1974-01-15,10,5672989,False,,,,,,
16,Persona|Cliente|Personal,Douglas,Franklin,882.835.8945,7158745471582,2001-12-08,11,9691803,False,,2022-04-11,Vendedor,7,11226.55,False
17,Persona,Samantha,Leon,+1-623-651-8822,4437669371912,1987-05-04,,,,,,,,,
18,Persona|Personal,Brenda,Haynes,978-985-2064x020,6623277145432,2003-03-10,,,,,2017-03-21,Cajero,8,8520.63,True
19,Persona,Kelsey,Bradley,(446)481-0223x188,7008105948683,1993-08-13,,,,,,,,,
20,Persona|Cliente|Personal,Sydney,Cook,250-862-7835,1245286155078,1966-09-23,12,2142442,True,401705,2017-05-29,Vendedor,9,14885.86,False
21,Persona,Alicia,Savage,341-648-2551x883,3335704018974,1973-04-02,,,,,,,,,
22,Persona|Cliente,Kevin,Adams,+1-603-210-7476,5814187492893,1984-05-17,13,9182560,True,944555,,,,,
23,Persona,Debra,Gordon,467-477-4526,8473730532595,1999-05-21,,,,,,,,,
24,Persona,Debra,Chandler,269-860-0698,7688706118196,1970-01-02,,,,,,,,,
25,Persona|Cliente|Personal,Kristi,Smith,619.225.5723x9689,3318125542854,2004-09-09,14,4168893,False,,2020-03-06,Supervisor,10,12536.37,True
26,Persona,Keith,Moore,+1-546-975-2893,9502728449406,1997-07-17,,,,,,,,,
27,Persona,Christina,Washington,303-576-5195x6907,4359025550571,1970-12-15,,,,,,,,,
28,Persona|Personal,Lindsey,Wilson,939-538-1984,9243273962784,1968-07-20,,,,,2020-08-15,Vendedor,11,5584.52,False
29,Persona,Ryan,Sutton,+1-883-827-6652x6356,3894718540692,1978-03-07,,,,,,,,,
30,Persona|Cliente|Personal,Jennifer,Castillo,942.795.4338,9191477613922,1977-01-29,15,9102389,True,286758,2012-06-20,Repartidor,12,6352.15,False
31,Persona|Personal,Bill,Hernandez,001-866-975-4049x68312,6573876569842,1997-12-01,,,,,2022-07-10,Cajero,13,6462.33,True
32,Persona|Cliente|Personal,Jose,Rogers,773-217-6788,5029543791375,2000-12-14,16,4115669,True,850345,2015-01-04,Vendedor,14,9801.24,True
